"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"phaA","","Acetyl-CoA acetyltransferase","17","145","2","112","89.47368421052632","43.57976653696498","6.56551724137931","0.006343734802322027","1.0","0.35064693857000123","1","1","1","1.0","1.0"
"yhcG_2","","Putative nuclease YhcG","2","112","17","145","10.526315789473683","56.42023346303502","0.15231092436974789","0.006343734802322027","1.0","0.35064693857000123","9","2","7","0.17968750000000003","0.17968750000000003"
"icd","","Isocitrate dehydrogenase [NADP]","17","147","2","110","89.47368421052632","42.80155642023346","6.360544217687075","0.006362631866001828","1.0","0.35078582156346044","5","4","2","0.375","1.0"
"group_452","","hypothetical protein","17","147","2","110","89.47368421052632","42.80155642023346","6.360544217687075","0.006362631866001828","1.0","0.35078582156346044","3","3","1","0.25","1.0"
"group_1475","","hypothetical protein","2","110","17","147","10.526315789473683","57.19844357976653","0.1572192513368984","0.006362631866001828","1.0","0.35078582156346044","6","2","6","0.03125","0.6875000000000002"
"sufE","","Cysteine desulfuration protein SufE","17","148","2","109","89.47368421052632","42.4124513618677","6.260135135135135","0.006454992604384849","1.0","0.3549638013587624","5","3","2","1.0","1.0"
"btuD_2","","hypothetical protein","17","148","2","109","89.47368421052632","42.4124513618677","6.260135135135135","0.006454992604384849","1.0","0.3549638013587624","6","4","2","0.6875000000000002","0.6875000000000002"
"rnr","","Ribonuclease R","17","148","2","109","89.47368421052632","42.4124513618677","6.260135135135135","0.006454992604384849","1.0","0.3549638013587624","4","3","2","0.625","1.0"
"group_1350","","hypothetical protein","13","92","6","165","68.42105263157895","64.2023346303502","3.885869565217391","0.006543113588522942","1.0","0.3584844676091062","14","10","5","0.17956542968750003","0.4239501953124999"
"group_1713","","hypothetical protein","13","92","6","165","68.42105263157895","64.2023346303502","3.885869565217391","0.006543113588522942","1.0","0.3584844676091062","5","3","3","1.0","1.0"
"ycjX","","putative protein YcjX","13","92","6","165","68.42105263157895","64.2023346303502","3.885869565217391","0.006543113588522942","1.0","0.3584844676091062","5","3","3","1.0","1.0"
"group_1550","","hypothetical protein","14","102","5","155","73.68421052631578","60.311284046692606","4.254901960784314","0.006546922426092288","1.0","0.3584844676091062","6","3","3","1.0","1.0"
"hcaD_1","","hypothetical protein","14","102","5","155","73.68421052631578","60.311284046692606","4.254901960784314","0.006546922426092288","1.0","0.3584844676091062","12","8","4","0.3876953125000001","0.3876953125000001"
"manX","","PTS system mannose-specific EIIAB component","17","149","2","108","89.47368421052632","42.023346303501945","6.1610738255033555","0.00660294963428718","1.0","0.3609368953707501","3","1","2","1.0","1.0"
"ptsP","","Phosphoenolpyruvate-dependent phosphotransferase system","17","149","2","108","89.47368421052632","42.023346303501945","6.1610738255033555","0.00660294963428718","1.0","0.3609368953707501","3","1","2","1.0","1.0"
"group_1723","","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","13","4","10","0.09228515625000003","0.26684570312499983"
"group_2691","","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","17","5","12","0.14346313476562497","0.14346313476562497"
"xerC_4","","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","13","7","7","0.9999999999999999","0.9999999999999999"
"group_2854","","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","12","4","8","0.3876953125000001","0.3876953125000001"
"group_3078","mtnN","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","10","4","7","0.3437499999999999","0.7539062500000002"
"adeP","","Adenine permease AdeP","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","15","7","8","0.9999999999999997","0.9999999999999997"
"shc","","Squalene--hopene cyclase","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","10","4","7","0.3437499999999999","0.7539062500000002"
"group_3349","","hypothetical protein","7","30","12","227","36.84210526315789","88.32684824902724","4.413888888888889","0.006682169340178599","1.0","0.3627971720628328","10","5","6","0.7539062500000002","1.0"
"group_1915","","Putative 3-methyladenine DNA glycosylase","5","154","14","103","26.31578947368421","40.07782101167315","0.2388682745825603","0.006733127206123282","1.0","0.36391072147578407","14","5","10","0.17956542968750003","0.4239501953124999"
"lapB","","hypothetical protein","14","103","5","154","73.68421052631578","59.92217898832685","4.186407766990291","0.006733127206123282","1.0","0.36391072147578407","5","3","2","1.0","1.0"
"qorB","","hypothetical protein","14","103","5","154","73.68421052631578","59.92217898832685","4.186407766990291","0.006733127206123282","1.0","0.36391072147578407","16","11","5","0.21011352539062492","0.21011352539062492"
"mtlK","","Mannitol 2-dehydrogenase","14","103","5","154","73.68421052631578","59.92217898832685","4.186407766990291","0.006733127206123282","1.0","0.36391072147578407","15","10","5","0.30175781250000017","0.30175781250000017"
"siaP","","Solute-binding protein","14","103","5","154","73.68421052631578","59.92217898832685","4.186407766990291","0.006733127206123282","1.0","0.36391072147578407","9","6","4","0.5078125","1.0"
"ansA","","L-asparaginase","11","68","8","189","57.89473684210527","73.54085603112841","3.8216911764705883","0.00673667421000961","1.0","0.36391072147578407","16","9","8","0.8036193847656252","1.0"
"group_3013","","hypothetical protein","6","22","13","235","31.57894736842105","91.43968871595331","4.93006993006993","0.006800065619367133","1.0","0.36617375510035616","11","6","6","0.9999999999999997","0.9999999999999997"
"group_3724","","hypothetical protein","6","22","13","235","31.57894736842105","91.43968871595331","4.93006993006993","0.006800065619367133","1.0","0.36617375510035616","10","6","4","0.7539062500000002","0.7539062500000002"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","17","150","2","107","89.47368421052632","41.63424124513619","6.0633333333333335","0.006807072562079828","1.0","0.36617375510035616","5","3","2","1.0","1.0"
"mch","","hypothetical protein","17","150","2","107","89.47368421052632","41.63424124513619","6.0633333333333335","0.006807072562079828","1.0","0.36617375510035616","3","1","2","1.0","1.0"
"pcm_1","","Protein-L-isoaspartate O-methyltransferase","17","150","2","107","89.47368421052632","41.63424124513619","6.0633333333333335","0.006807072562079828","1.0","0.36617375510035616","3","1","2","1.0","1.0"
"group_1442","","hypothetical protein","14","104","5","153","73.68421052631578","59.53307392996109","4.119230769230769","0.006976953426256878","1.0","0.37437154687974356","14","9","5","0.4239501953124999","0.4239501953124999"
"group_1450","","hypothetical protein","14","104","5","153","73.68421052631578","59.53307392996109","4.119230769230769","0.006976953426256878","1.0","0.37437154687974356","13","8","5","0.5810546875","0.5810546875"
"fliE","","Flagellar hook-basal body complex protein FliE","14","104","5","153","73.68421052631578","59.53307392996109","4.119230769230769","0.006976953426256878","1.0","0.37437154687974356","13","8","5","0.5810546875","0.5810546875"
"group_1420","","hypothetical protein","13","93","6","164","68.42105263157895","63.81322957198443","3.8207885304659497","0.007016026669385535","1.0","0.37490214388349713","14","10","5","0.17956542968750003","0.4239501953124999"
"mro","","Aldose 1-epimerase","13","93","6","164","68.42105263157895","63.81322957198443","3.8207885304659497","0.007016026669385535","1.0","0.37490214388349713","14","8","6","0.7905273437500004","0.7905273437500004"
"cobH","","Precorrin-8X methylmutase","13","93","6","164","68.42105263157895","63.81322957198443","3.8207885304659497","0.007016026669385535","1.0","0.37490214388349713","13","7","6","0.9999999999999999","0.9999999999999999"
"cobJ","","hypothetical protein","13","93","6","164","68.42105263157895","63.81322957198443","3.8207885304659497","0.007016026669385535","1.0","0.37490214388349713","13","7","6","0.9999999999999999","0.9999999999999999"
"virB8","","Type IV secretion system protein virB8","6","164","13","93","31.57894736842105","36.18677042801556","0.26172607879924953","0.007016026669385536","1.0","0.37490214388349713","17","6","12","0.14346313476562497","0.33230590820312506"
"pyrK","","hypothetical protein","2","106","17","151","10.526315789473683","58.754863813229576","0.16759156492785793","0.007068196918970761","1.0","0.3770624750071205","3","2","2","1.0","1.0"
"group_1038","","hypothetical protein","17","151","2","106","89.47368421052632","41.245136186770424","5.966887417218543","0.007068196918970762","1.0","0.3770624750071205","3","2","2","1.0","1.0"
"group_2000","pcm_3","hypothetical protein","9","49","10","208","47.368421052631575","80.93385214007782","3.820408163265306","0.007134498134684739","1.0","0.3799682261133218","16","6","10","0.45449829101562506","0.45449829101562506"
"group_2003","","hypothetical protein","9","49","10","208","47.368421052631575","80.93385214007782","3.820408163265306","0.007134498134684739","1.0","0.3799682261133218","16","6","10","0.45449829101562506","0.45449829101562506"
"lodB","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","11","5","8","0.22656250000000003","0.9999999999999997"
"group_3982","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","10","5","5","1.0","1.0"
"group_4658","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","9","4","7","0.17968750000000003","1.0"
"group_4659","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","9","4","7","0.17968750000000003","1.0"
"group_4791","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","6","3","5","0.21875000000000003","1.0"
"group_4792","","hypothetical protein","5","15","14","242","26.31578947368421","94.16342412451361","5.761904761904762","0.007178914609811134","1.0","0.3804410119418806","6","3","5","0.21875000000000003","1.0"
"group_2002","","hypothetical protein","3","127","16","130","15.789473684210526","50.583657587548636","0.1919291338582677","0.007224640674353244","1.0","0.38212227944860083","10","2","9","0.021484374999999997","0.10937500000000003"
"ycjG","","D-galactonate dehydratase","16","131","3","126","84.21052631578947","49.0272373540856","5.129770992366412","0.007240386960546595","1.0","0.38212227944860083","7","4","3","0.9999999999999998","0.9999999999999998"
"sctC","","Type 3 secretion system secretin","16","131","3","126","84.21052631578947","49.0272373540856","5.129770992366412","0.007240386960546595","1.0","0.38212227944860083","6","5","2","0.21875000000000003","0.6875000000000002"
"phaC","","Poly(3-hydroxyalkanoate) polymerase subunit PhaC","16","131","3","126","84.21052631578947","49.0272373540856","5.129770992366412","0.007240386960546595","1.0","0.38212227944860083","7","5","2","0.4531249999999996","0.4531249999999996"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","3","126","16","131","15.789473684210526","50.97276264591439","0.1949404761904762","0.007240386960546595","1.0","0.38212227944860083","9","2","8","0.0390625","0.17968750000000003"
"group_1226","","hypothetical protein","11","69","8","188","57.89473684210527","73.15175097276264","3.746376811594203","0.007261953528239263","1.0","0.382318043578098","12","7","5","0.7744140625000003","0.7744140625000003"
"yddG","","hypothetical protein","11","69","8","188","57.89473684210527","73.15175097276264","3.746376811594203","0.007261953528239263","1.0","0.382318043578098","11","6","5","0.9999999999999997","0.9999999999999997"
"pdxY","","Pyridoxal kinase PdxY","11","69","8","188","57.89473684210527","73.15175097276264","3.746376811594203","0.007261953528239263","1.0","0.382318043578098","11","5","6","0.9999999999999997","0.9999999999999997"
"guaD","","8-oxoguanine deaminase","14","105","5","152","73.68421052631578","59.143968871595334","4.053333333333334","0.007279623354729196","1.0","0.3829344213357097","8","3","5","0.7265625000000002","0.7265625000000002"
"group_1374","","hypothetical protein","16","132","3","125","84.21052631578947","48.63813229571984","5.05050505050505","0.007315907336575035","1.0","0.3845281606553829","6","3","3","1.0","1.0"
"queC","","7-cyano-7-deazaguanine synthase","15","117","4","140","78.94736842105263","54.474708171206224","4.487179487179487","0.007372613294379038","1.0","0.38687547327179017","12","8","4","0.3876953125000001","0.3876953125000001"
"adh1","","Long-chain-alcohol dehydrogenase 1","15","117","4","140","78.94736842105263","54.474708171206224","4.487179487179487","0.007372613294379038","1.0","0.38687547327179017","12","8","4","0.3876953125000001","0.3876953125000001"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","17","152","2","105","89.47368421052632","40.856031128404666","5.871710526315789","0.0073874268790257","1.0","0.38733636001056465","5","3","2","1.0","1.0"
"yeaW","","Carnitine monooxygenase oxygenase subunit","15","118","4","139","78.94736842105263","54.08560311284047","4.4173728813559325","0.0075370476765843925","1.0","0.39421582672584604","15","12","4","0.035156250000000014","0.11846923828124997"
